ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPICON,CAPACIDAD_MAXIMA
40,7 Johnson Pass,Nunc nisl.,sencilla,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",4695
41,6 Red Cloud Alley,Morbi quis tortor id nulla ultrices aliquet.,sencilla,0,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3721
42,81 Buell Place,Duis bibendum.,sencilla,1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1468
43,038 Mcguire Pass,Donec ut mauris eget massa tempor convallis.,sencilla,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4641
44,94 Service Trail,Nulla ut erat id mauris vulputate elementum.,sencilla,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",4400
45,573 Bayside Crossing,Pellentesque ultrices mattis odio.,compartida,1,Aliquam quis turpis eget elit sodales scelerisque.,4957
46,3 Elka Crossing,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,compartida,1,In hac habitasse platea dictumst.,2163
47,296 Reinke Terrace,Nullam porttitor lacus at turpis.,sencilla,1,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,4929
48,47460 Pepper Wood Street,Nulla suscipit ligula in lacus.,compartida,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2184
49,5605 Lindbergh Way,Nulla ut erat id mauris vulputate elementum.,compartida,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",4906
50,870 Continental Junction,Nulla ac enim.,compartida,1,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",2119
51,9208 Manufacturers Hill,Integer non velit.,compartida,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1192
52,6595 Thackeray Hill,Maecenas ut massa quis augue luctus tincidunt.,compartida,0,Nam tristique tortor eu pede.,3448
53,1702 Bayside Street,In congue.,compartida,0,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3276
54,93 Dwight Pass,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,compartida,0,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1922
55,61515 Blue Bill Park Terrace,Nullam molestie nibh in lectus.,sencilla,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2981
56,7886 Melvin Terrace,Aliquam sit amet diam in magna bibendum imperdiet.,compartida,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",1919
57,649 Manufacturers Way,Proin risus.,sencilla,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,3930
58,7186 Eggendart Hill,In hac habitasse platea dictumst.,compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1053
59,6 Spohn Hill,Nulla tempus.,sencilla,1,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3160
60,7247 Gulseth Road,Aliquam erat volutpat.,sencilla,0,Nulla ut erat id mauris vulputate elementum. Nullam varius.,4501
61,78710 Eastlawn Pass,Vivamus vel nulla eget eros elementum pellentesque.,compartida,0,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,4700
62,4258 Melody Junction,Ut at dolor quis odio consequat varius.,compartida,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",3496
63,13277 Kenwood Pass,Morbi non quam nec dui luctus rutrum.,compartida,0,Nullam varius.,4527
64,0160 Walton Street,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",compartida,0,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3419
65,0 Johnson Hill,Morbi a ipsum.,sencilla,1,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",1171
66,123 Northport Hill,Phasellus id sapien in sapien iaculis congue.,compartida,0,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",1426
67,51417 Utah Drive,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1618
68,50166 Lindbergh Junction,Nunc purus.,compartida,0,Nulla facilisi.,4327
69,9028 Sommers Way,Vestibulum ac est lacinia nisi venenatis tristique.,compartida,1,Praesent blandit.,1760
70,89 Manitowish Court,In blandit ultrices enim.,compartida,0,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,3687
71,94948 Bellgrove Point,Donec quis orci eget orci vehicula condimentum.,compartida,1,Nulla justo.,4666
72,47 Autumn Leaf Terrace,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",compartida,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",3180
73,572 Grover Center,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,0,Mauris lacinia sapien quis libero.,3538
74,8749 Judy Trail,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,0,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",3535
75,3334 Center Parkway,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,0,Etiam pretium iaculis justo.,3968
76,78 Walton Street,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,1,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,2701
77,83300 Glendale Avenue,Phasellus in felis.,sencilla,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",4236
78,3 Starling Terrace,Nulla tellus.,sencilla,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",3063
79,65 Nevada Alley,Duis mattis egestas metus.,compartida,0,Phasellus sit amet erat.,1417
80,40688 Hermina Pass,Pellentesque eget nunc.,compartida,1,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4968
81,552 Weeping Birch Court,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",compartida,1,Aenean sit amet justo.,2391
82,75 Memorial Parkway,Praesent blandit lacinia erat.,compartida,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1963
83,1 Evergreen Trail,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,sencilla,1,Aenean lectus.,4415
84,4978 Artisan Street,Aliquam non mauris.,sencilla,1,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2334
85,93 Garrison Court,Etiam pretium iaculis justo.,sencilla,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",3892
86,3 Hauk Trail,Aenean auctor gravida sem.,compartida,1,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1089
87,56 8th Terrace,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sencilla,0,Curabitur at ipsum ac tellus semper interdum.,1204
88,720 Grasskamp Way,Vestibulum sed magna at nunc commodo placerat.,compartida,0,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",4183
89,936 Redwing Avenue,In quis justo.,sencilla,1,In quis justo. Maecenas rhoncus aliquam lacus.,2815
90,641 Buhler Crossing,Donec posuere metus vitae ipsum.,compartida,0,Duis bibendum.,2840
91,5145 Meadow Ridge Circle,Pellentesque eget nunc.,compartida,1,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,1399
92,175 Ridgeview Lane,Fusce consequat.,compartida,0,Duis ac nibh.,2280
93,13762 Sunbrook Point,Nulla facilisi.,compartida,0,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2170
94,8 Miller Street,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",sencilla,0,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",4219
95,0113 Quincy Way,Aliquam erat volutpat.,sencilla,0,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3096
96,49875 Chinook Crossing,Nullam molestie nibh in lectus.,compartida,0,Suspendisse potenti.,1475
97,543 West Plaza,Quisque id justo sit amet sapien dignissim vestibulum.,sencilla,0,Nulla justo.,4530
98,2776 Evergreen Terrace,Proin at turpis a pede posuere nonummy.,sencilla,1,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,4539
99,20474 Chive Alley,Nunc rhoncus dui vel sem.,compartida,0,Maecenas ut massa quis augue luctus tincidunt.,1970
100,71 Gateway Hill,Morbi a ipsum.,sencilla,0,Sed ante. Vivamus tortor. Duis mattis egestas metus.,4961
101,38099 Dexter Street,Donec ut dolor.,compartida,0,Sed accumsan felis. Ut at dolor quis odio consequat varius.,4250
102,8072 Lukken Avenue,Aenean sit amet justo.,sencilla,1,Sed vel enim sit amet nunc viverra dapibus.,1534
103,0089 Fordem Pass,Integer ac neque.,compartida,1,Donec dapibus. Duis at velit eu est congue elementum.,2197
104,5067 Karstens Street,Pellentesque eget nunc.,sencilla,1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1663
105,3989 Anhalt Junction,Proin at turpis a pede posuere nonummy.,sencilla,0,Etiam faucibus cursus urna. Ut tellus.,2824
106,73 Mcbride Court,In hac habitasse platea dictumst.,sencilla,1,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,4643
107,2 Elka Circle,Sed accumsan felis.,compartida,0,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,1607
108,95 Nancy Trail,Sed ante.,compartida,1,Donec ut mauris eget massa tempor convallis.,2670
109,2180 Sloan Trail,Duis at velit eu est congue elementum.,compartida,0,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,4595
110,659 Muir Pass,Praesent blandit lacinia erat.,sencilla,1,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,2564
111,8 Derek Alley,Pellentesque at nulla.,sencilla,0,Donec posuere metus vitae ipsum.,3172
112,799 Everett Circle,Donec quis orci eget orci vehicula condimentum.,compartida,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,2112
113,36141 Derek Way,Maecenas rhoncus aliquam lacus.,compartida,0,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1266
114,5590 Kim Avenue,Aliquam sit amet diam in magna bibendum imperdiet.,sencilla,1,Etiam justo.,4539
115,4 Claremont Drive,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",sencilla,0,Etiam faucibus cursus urna. Ut tellus.,1201
116,1526 Forest Dale Hill,Morbi non quam nec dui luctus rutrum.,compartida,0,In eleifend quam a odio.,1722
117,6 4th Plaza,Nullam varius.,compartida,0,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2245
118,78529 Hayes Park,Suspendisse potenti.,compartida,0,Praesent blandit lacinia erat.,1347
119,824 Charing Cross Street,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,0,Proin eu mi.,4248
120,3 Lighthouse Bay Plaza,Maecenas tincidunt lacus at velit.,sencilla,0,Morbi a ipsum. Integer a nibh.,2713
121,0740 6th Road,Donec quis orci eget orci vehicula condimentum.,compartida,1,Sed accumsan felis.,2365
122,20196 Logan Court,Donec posuere metus vitae ipsum.,sencilla,1,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,4182
123,41794 Florence Street,In hac habitasse platea dictumst.,compartida,0,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,2511
124,7207 Grim Park,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,compartida,0,Cras pellentesque volutpat dui.,1237
125,8 Pankratz Parkway,In congue.,compartida,0,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2416
126,10 Mesta Hill,Cras pellentesque volutpat dui.,compartida,1,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,2419
127,9098 Novick Junction,Aenean sit amet justo.,compartida,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",4526
128,791 Bartillon Junction,Proin eu mi.,sencilla,1,Cras in purus eu magna vulputate luctus.,4636
129,3 Haas Crossing,Integer non velit.,compartida,1,Duis consequat dui nec nisi volutpat eleifend.,1932
130,386 Southridge Place,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,0,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",3449
131,5 Bonner Hill,Vivamus vestibulum sagittis sapien.,compartida,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1939
132,390 Sunnyside Circle,Praesent blandit lacinia erat.,sencilla,1,Mauris sit amet eros.,1519
133,459 New Castle Lane,Maecenas tincidunt lacus at velit.,sencilla,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1124
134,4 Redwing Point,Nulla facilisi.,sencilla,0,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2663
135,18959 Anhalt Street,Nunc nisl.,compartida,1,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,3299
136,7 Sullivan Junction,Morbi a ipsum.,compartida,1,Phasellus sit amet erat.,4336
137,90467 Aberg Trail,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1987
138,88 Gateway Junction,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",compartida,0,Integer a nibh.,3323
139,56 Oriole Street,Nunc nisl.,compartida,1,Aenean lectus.,2244
140,1538 Hazelcrest Lane,Suspendisse potenti.,compartida,1,Integer ac leo.,1399
141,631 Scofield Park,Morbi vel lectus in quam fringilla rhoncus.,sencilla,1,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3126
142,25402 Namekagon Circle,Vestibulum ac est lacinia nisi venenatis tristique.,compartida,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",4621
143,194 Vahlen Avenue,Etiam pretium iaculis justo.,compartida,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",4966
144,39 Loeprich Terrace,Sed vel enim sit amet nunc viverra dapibus.,sencilla,1,Nulla tellus. In sagittis dui vel nisl.,4083
145,35 Garrison Alley,Aenean lectus.,sencilla,1,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,2997
146,7 Grim Circle,Morbi a ipsum.,compartida,1,Nulla mollis molestie lorem.,3121
147,29 Kennedy Park,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,sencilla,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",3482
148,7 Corry Terrace,Suspendisse accumsan tortor quis turpis.,compartida,0,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1422
149,7874 Darwin Crossing,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,1,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",1721
150,697 Summer Ridge Lane,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sencilla,0,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",4216
151,30270 Lawn Pass,Phasellus id sapien in sapien iaculis congue.,sencilla,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",3668
152,4411 Glendale Junction,In hac habitasse platea dictumst.,sencilla,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",3684
153,5401 Walton Point,In eleifend quam a odio.,sencilla,1,Integer a nibh.,3717
154,80939 Brown Circle,Pellentesque eget nunc.,compartida,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,4162
155,29483 Dawn Way,Nulla nisl.,compartida,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1719
156,2626 Moose Road,Maecenas tincidunt lacus at velit.,compartida,0,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1073
157,44 Dorton Pass,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",compartida,1,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",2481
158,3909 Express Terrace,Proin at turpis a pede posuere nonummy.,compartida,0,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,1052
159,1335 Ilene Center,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,0,Nam tristique tortor eu pede.,2522
160,3 Homewood Junction,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",sencilla,0,Quisque porta volutpat erat.,2437
161,660 Continental Lane,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,0,Suspendisse potenti. In eleifend quam a odio.,3999
162,7 Michigan Pass,Nullam molestie nibh in lectus.,sencilla,1,Curabitur at ipsum ac tellus semper interdum.,3408
163,4 Dakota Court,Aenean sit amet justo.,compartida,1,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",4503
164,1191 Mallard Pass,Morbi quis tortor id nulla ultrices aliquet.,compartida,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",4517
165,48951 Farwell Center,Phasellus id sapien in sapien iaculis congue.,compartida,0,Sed sagittis.,2024
166,9 Independence Drive,Proin risus.,compartida,1,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2305
167,52756 Prentice Circle,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,1,Donec dapibus. Duis at velit eu est congue elementum.,2451
168,1862 Southridge Hill,Nulla justo.,compartida,1,Sed ante. Vivamus tortor.,4383
