id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_INICIAL,HORARIO_ADMIN_FINAL,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
23,Vestibulum rutrum rutrum neque.,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,compartida,4,10,mediano,50692 Talmadge Circle,14,15
24,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Morbi quis tortor id nulla ultrices aliquet.,compartida,2,8,pequeño,16207 Pleasure Avenue,1,11
25,Morbi non quam nec dui luctus rutrum. Nulla tellus.,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,2,8,pequeño,583 Carey Avenue,4,39
26,Pellentesque viverra pede ac diam.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,sencilla,4,10,pequeño,92037 Victoria Place,17,16
27,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",compartida,8,14,pequeño,572 Wayridge Park,8,27
28,Phasellus in felis. Donec semper sapien a libero.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",compartida,10,16,mediano,93 Glendale Parkway,19,41
29,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Donec ut mauris eget massa tempor convallis.,compartida,2,8,pequeño,2 Morningstar Park,2,23
30,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",compartida,10,16,pequeño,68 Fisk Court,2,44
31,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",Donec ut mauris eget massa tempor convallis.,sencilla,5,11,pequeño,5 Luster Lane,2,43
32,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,Aliquam non mauris.,sencilla,7,13,mediano,7194 Nevada Center,19,21
33,Aliquam erat volutpat. In congue. Etiam justo.,Praesent blandit.,compartida,8,14,mediano,03102 Gateway Place,7,26
34,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,compartida,2,8,mediano,8 Dwight Crossing,3,22
35,Pellentesque ultrices mattis odio.,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",compartida,10,16,pequeño,40536 Porter Road,20,15
36,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Fusce consequat.,compartida,5,11,pequeño,6046 Westport Avenue,17,38
37,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Etiam vel augue.,sencilla,2,8,pequeño,18707 Little Fleur Plaza,12,42
38,In eleifend quam a odio.,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,compartida,2,8,grande,1295 Blue Bill Park Alley,18,43
39,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",compartida,4,10,mediano,3 Loomis Terrace,10,30
40,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",sencilla,3,9,mediano,01308 Magdeline Park,16,29
41,Nulla mollis molestie lorem.,Integer ac leo.,sencilla,4,10,pequeño,1 Rusk Point,15,13
42,Quisque porta volutpat erat.,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",compartida,5,11,mediano,7 Cherokee Center,5,21
43,Nullam porttitor lacus at turpis.,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,sencilla,7,13,pequeño,2 Homewood Drive,16,4
44,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,compartida,2,8,mediano,7 Grayhawk Way,9,7
45,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Nulla justo.,sencilla,4,10,pequeño,9704 Hallows Parkway,9,38
46,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,compartida,1,7,grande,01 Sherman Road,2,22
47,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Nunc purus. Phasellus in felis. Donec semper sapien a libero.,compartida,1,7,pequeño,649 Spohn Way,10,42
48,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Nullam molestie nibh in lectus.,compartida,2,8,pequeño,77 Larry Drive,16,2
49,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,sencilla,10,16,pequeño,80 Jenifer Hill,4,15
50,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Donec semper sapien a libero.,sencilla,9,15,pequeño,1 Northfield Street,6,43
51,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",sencilla,7,13,pequeño,71 Jenna Drive,17,23
52,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Suspendisse ornare consequat lectus.,compartida,5,11,mediano,25 Summerview Parkway,17,20
53,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,7,13,mediano,1444 Kennedy Junction,19,39
54,Praesent blandit lacinia erat.,Nullam varius. Nulla facilisi.,sencilla,6,12,pequeño,7 Monterey Parkway,7,43
55,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Phasellus id sapien in sapien iaculis congue.,sencilla,2,8,pequeño,77 Granby Terrace,18,38
56,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Ut at dolor quis odio consequat varius. Integer ac leo.,compartida,9,15,pequeño,12678 Quincy Junction,11,24
57,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,sencilla,1,7,pequeño,0719 Anhalt Junction,16,18
58,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,compartida,2,8,pequeño,0525 Golden Leaf Hill,4,7
59,Duis ac nibh.,Donec semper sapien a libero.,sencilla,6,12,pequeño,409 Summerview Hill,1,26
60,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,compartida,2,8,pequeño,494 Mccormick Lane,15,39
61,Nulla tellus. In sagittis dui vel nisl.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,8,14,pequeño,96898 Forest Dale Terrace,18,13
62,Aliquam sit amet diam in magna bibendum imperdiet.,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,compartida,7,13,mediano,10847 Lakewood Road,13,15
63,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,7,13,mediano,5450 Londonderry Trail,11,3
64,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,compartida,2,8,pequeño,0933 Trailsway Lane,5,25
65,Phasellus sit amet erat.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",compartida,10,16,pequeño,5648 Banding Terrace,8,23
66,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,sencilla,3,9,pequeño,1497 Thompson Road,3,37
67,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,compartida,2,8,grande,4686 Bunting Park,8,45
68,Praesent id massa id nisl venenatis lacinia.,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,compartida,9,15,pequeño,67682 Warner Pass,15,31
69,Cras non velit nec nisi vulputate nonummy.,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,compartida,10,16,pequeño,4070 Esch Circle,9,28
70,Donec dapibus.,Quisque ut erat. Curabitur gravida nisi at nibh.,sencilla,3,9,mediano,66 Jenna Trail,17,49
71,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,In hac habitasse platea dictumst.,compartida,7,13,pequeño,45 Lindbergh Park,5,16
72,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,compartida,4,10,pequeño,71788 Fremont Place,11,27
73,Morbi ut odio.,Donec posuere metus vitae ipsum.,compartida,8,14,pequeño,0887 Portage Drive,6,22
74,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",sencilla,7,13,pequeño,7 Anzinger Terrace,18,26
75,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Morbi non lectus.,compartida,1,7,pequeño,497 Golf Course Place,5,48
76,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",sencilla,7,13,grande,9 Corscot Avenue,12,35
77,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",sencilla,7,13,grande,828 Sycamore Circle,11,40
78,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,sencilla,6,12,mediano,21079 Rigney Crossing,16,39
79,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",Phasellus sit amet erat.,compartida,1,7,pequeño,701 Messerschmidt Park,8,39
80,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,Proin eu mi. Nulla ac enim.,sencilla,2,8,grande,2118 Little Fleur Hill,10,39
81,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",Proin eu mi. Nulla ac enim.,compartida,7,13,pequeño,7 Redwing Alley,3,26
82,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.","Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",compartida,4,10,mediano,912 Carioca Crossing,6,13
83,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Phasellus sit amet erat. Nulla tempus.,compartida,8,14,pequeño,60876 Spohn Avenue,15,35
84,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Morbi a ipsum. Integer a nibh. In quis justo.,sencilla,8,14,grande,70404 Memorial Way,15,12
85,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,sencilla,1,7,pequeño,301 Armistice Court,8,18
86,In congue.,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,compartida,7,13,pequeño,83618 Muir Alley,5,13
87,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Morbi ut odio.,compartida,2,8,pequeño,62 Goodland Alley,10,31
88,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,sencilla,1,7,grande,5 Kenwood Parkway,19,2
89,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",Praesent blandit lacinia erat.,sencilla,2,8,pequeño,51 Aberg Trail,19,50
90,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",compartida,6,12,pequeño,7205 Waxwing Point,7,27
91,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,1,7,pequeño,2003 6th Point,5,43
92,Etiam justo.,In congue. Etiam justo.,compartida,2,8,grande,82 Eagle Crest Point,13,17
93,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,2,8,grande,1148 Lotheville Way,14,35
94,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,Maecenas tincidunt lacus at velit.,compartida,6,12,mediano,4 3rd Road,14,42
95,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",sencilla,10,16,mediano,3 Sutteridge Junction,9,7
96,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,compartida,8,14,pequeño,74 Thompson Hill,7,31
97,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",sencilla,2,8,pequeño,30966 Artisan Circle,2,45
98,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,compartida,8,14,pequeño,98 Menomonie Court,1,28
99,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sencilla,10,16,pequeño,60616 Elgar Way,20,43
100,Etiam justo. Etiam pretium iaculis justo.,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",sencilla,4,10,pequeño,960 6th Plaza,17,30
101,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",sencilla,10,16,mediano,74012 Sutteridge Alley,16,25
102,Sed accumsan felis. Ut at dolor quis odio consequat varius.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",compartida,6,12,pequeño,543 Hazelcrest Center,1,35
103,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,2,8,pequeño,1072 Monument Avenue,7,17
104,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Cras non velit nec nisi vulputate nonummy.,compartida,3,9,grande,2369 American Pass,16,48
105,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,compartida,6,12,pequeño,922 Springs Crossing,14,48
106,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.","In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",sencilla,3,9,pequeño,2365 Sachs Court,17,14
107,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,Suspendisse potenti.,compartida,7,13,pequeño,12571 Elka Park,15,23
108,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Vestibulum ac est lacinia nisi venenatis tristique.,sencilla,2,8,grande,4 Aberg Park,12,14
109,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",Morbi ut odio.,sencilla,9,15,pequeño,4 Aberg Avenue,20,38
110,Vivamus tortor.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",compartida,6,12,pequeño,264 Anzinger Crossing,3,37
111,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,In hac habitasse platea dictumst.,compartida,6,12,grande,8 Warner Crossing,11,39
112,Phasellus sit amet erat. Nulla tempus.,Nulla nisl. Nunc nisl.,compartida,5,11,pequeño,6778 Shoshone Alley,18,23
113,Ut at dolor quis odio consequat varius. Integer ac leo.,Proin eu mi. Nulla ac enim.,compartida,4,10,grande,7257 Pleasure Center,16,25
114,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Vivamus tortor. Duis mattis egestas metus.,sencilla,4,10,mediano,46 Fairfield Road,12,34
115,In hac habitasse platea dictumst.,Nullam sit amet turpis elementum ligula vehicula consequat.,compartida,1,7,pequeño,68 Pierstorff Court,8,19
116,Donec semper sapien a libero. Nam dui.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,compartida,7,13,pequeño,0705 American Point,9,39
117,Morbi quis tortor id nulla ultrices aliquet.,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",compartida,5,11,grande,011 Rockefeller Pass,15,47
118,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",sencilla,10,16,pequeño,5013 Straubel Circle,3,14
119,Nulla mollis molestie lorem. Quisque ut erat.,Morbi porttitor lorem id ligula.,sencilla,10,16,grande,3585 Crest Line Trail,17,33
120,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Nulla mollis molestie lorem.,sencilla,4,10,grande,0 Vahlen Place,10,48
121,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,compartida,8,14,grande,6 Center Crossing,15,25
122,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,Integer non velit.,sencilla,9,15,mediano,7 Londonderry Trail,11,26
123,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",sencilla,4,10,pequeño,34 Mayer Pass,11,29
