id,REGISTRO_CAMARA_COMERCIO,REGISTRO_SUPERINTENDENCIA,TIPO_HABITACION,HORARIO_ADMIN_24H,TAMANO,UBICACION,CANTIDAD_NOCHES,CAPACIDAD_MAXIMA
23,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Curabitur at ipsum ac tellus semper interdum.,estandar,1,pequeño,477 Sugar Trail,16,6
24,Duis aliquam convallis nunc.,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",semisuite,1,pequeño,62 2nd Circle,9,2
25,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",estandar,0,grande,5 Kropf Circle,19,2
26,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,suite,0,pequeño,6 Jana Circle,20,6
27,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,suite,0,pequeño,86073 Pleasure Hill,14,5
28,Phasellus in felis.,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",semisuite,0,mediano,6 Meadow Ridge Terrace,6,6
29,Nam tristique tortor eu pede.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,0,pequeño,20329 Logan Plaza,18,6
30,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Duis consequat dui nec nisi volutpat eleifend.,semisuite,0,mediano,833 Morning Avenue,12,4
31,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,Nullam porttitor lacus at turpis.,estandar,0,pequeño,74768 Roxbury Way,10,4
32,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Proin eu mi.,suite,1,grande,63861 Lyons Court,9,4
33,Duis mattis egestas metus.,In congue. Etiam justo.,suite,1,grande,6 Bobwhite Circle,8,4
34,Integer ac leo. Pellentesque ultrices mattis odio.,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,estandar,1,pequeño,9913 Stuart Circle,19,6
35,Morbi non lectus.,Proin eu mi.,suite,1,mediano,59 Michigan Parkway,15,4
36,Cras pellentesque volutpat dui.,Vestibulum sed magna at nunc commodo placerat.,semisuite,1,grande,88 Declaration Center,19,3
37,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Suspendisse accumsan tortor quis turpis.,suite,1,mediano,39 Springview Hill,12,4
38,Donec posuere metus vitae ipsum. Aliquam non mauris.,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,suite,0,pequeño,8 Cottonwood Lane,4,6
39,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.","In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",suite,0,pequeño,4 Mosinee Point,9,2
40,In sagittis dui vel nisl. Duis ac nibh.,Duis aliquam convallis nunc.,semisuite,0,pequeño,2928 Dovetail Way,5,6
41,Morbi a ipsum.,Nullam varius. Nulla facilisi.,estandar,0,mediano,829 Kenwood Hill,10,6
42,Pellentesque eget nunc.,Integer tincidunt ante vel ipsum.,semisuite,0,grande,20 Lawn Lane,8,3
43,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Nulla ut erat id mauris vulputate elementum.,suite,0,grande,6 Gateway Circle,20,4
44,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",Donec posuere metus vitae ipsum. Aliquam non mauris.,suite,0,grande,753 Stoughton Hill,4,5
45,Aenean sit amet justo.,Quisque ut erat.,estandar,0,mediano,0472 Maple Trail,18,3
46,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Praesent blandit lacinia erat.,suite,1,pequeño,2 Reindahl Alley,20,4
47,Morbi non quam nec dui luctus rutrum.,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,semisuite,0,grande,9 Everett Way,13,5
48,Nunc purus.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",estandar,0,pequeño,8 Magdeline Street,14,3
49,Donec quis orci eget orci vehicula condimentum.,Integer a nibh.,estandar,1,pequeño,32499 Lukken Court,15,4
50,In sagittis dui vel nisl.,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,suite,1,pequeño,814 Anzinger Pass,3,5
51,Phasellus in felis.,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",semisuite,0,pequeño,52068 Shelley Street,18,3
52,Phasellus sit amet erat.,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",estandar,1,pequeño,9666 Derek Plaza,5,3
53,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,suite,1,pequeño,49 Upham Trail,2,3
54,Phasellus in felis. Donec semper sapien a libero.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",estandar,1,mediano,0 Westend Plaza,17,4
55,In sagittis dui vel nisl. Duis ac nibh.,In congue.,semisuite,1,grande,5 Donald Plaza,15,2
56,Nullam molestie nibh in lectus.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",semisuite,0,pequeño,97720 Melby Parkway,17,5
57,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Nullam molestie nibh in lectus.,semisuite,1,pequeño,994 Prairie Rose Trail,17,2
58,Etiam vel augue.,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",suite,0,grande,0 Main Lane,5,2
59,Proin risus.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,0,grande,650 Alpine Terrace,1,5
60,Integer a nibh.,Morbi quis tortor id nulla ultrices aliquet.,suite,1,pequeño,4 Novick Crossing,9,5
61,Ut tellus. Nulla ut erat id mauris vulputate elementum.,In eleifend quam a odio. In hac habitasse platea dictumst.,suite,1,grande,41716 Tony Court,8,5
62,Nam tristique tortor eu pede.,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",suite,1,pequeño,0 Charing Cross Crossing,17,5
63,In congue.,Nullam porttitor lacus at turpis.,estandar,1,pequeño,8693 Dennis Pass,14,5
64,Aliquam quis turpis eget elit sodales scelerisque.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",semisuite,1,pequeño,753 Glendale Drive,4,4
65,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,estandar,0,pequeño,2939 Bluejay Terrace,8,5
66,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,semisuite,0,pequeño,3666 Daystar Crossing,19,5
67,Aenean fermentum.,Ut at dolor quis odio consequat varius. Integer ac leo.,suite,1,pequeño,35670 Brickson Park Junction,17,5
68,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",estandar,1,pequeño,96 Lakeland Parkway,4,2
69,Aliquam sit amet diam in magna bibendum imperdiet.,In hac habitasse platea dictumst.,suite,1,mediano,21 Clove Lane,12,6
70,Suspendisse potenti. Nullam porttitor lacus at turpis.,Vestibulum sed magna at nunc commodo placerat.,semisuite,1,pequeño,2107 Morningstar Circle,4,6
71,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,Aliquam erat volutpat. In congue.,estandar,0,mediano,12004 Meadow Vale Road,7,4
72,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Fusce posuere felis sed lacus.,suite,0,mediano,82688 Derek Avenue,14,6
73,Donec ut dolor.,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",estandar,0,grande,0161 Kim Circle,11,4
74,Maecenas rhoncus aliquam lacus.,Curabitur convallis.,suite,1,pequeño,6 Elka Avenue,4,3
75,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.","Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",semisuite,1,pequeño,70 Shasta Plaza,5,6
76,Morbi vel lectus in quam fringilla rhoncus.,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,estandar,1,mediano,074 Anhalt Court,15,3
77,Nulla justo.,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",semisuite,0,mediano,1 Boyd Street,14,3
78,In quis justo.,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,suite,1,mediano,7159 Chive Hill,11,2
79,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Nunc purus.,suite,1,pequeño,3935 Holmberg Lane,9,6
80,Sed ante. Vivamus tortor.,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,estandar,1,pequeño,2957 Darwin Road,9,3
81,Integer ac leo.,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,estandar,0,mediano,26 Jay Avenue,6,2
82,Mauris ullamcorper purus sit amet nulla.,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,estandar,1,pequeño,2907 Declaration Alley,16,5
83,Vestibulum rutrum rutrum neque.,Morbi a ipsum. Integer a nibh.,estandar,0,grande,6 Magdeline Alley,18,2
84,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",suite,1,pequeño,360 Dottie Hill,10,2
85,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",Nulla mollis molestie lorem.,suite,0,mediano,29 Golf View Park,4,4
86,Quisque id justo sit amet sapien dignissim vestibulum.,Pellentesque at nulla.,suite,0,pequeño,9 Summit Plaza,13,4
87,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",suite,1,grande,07591 Carioca Street,16,4
88,Phasellus sit amet erat. Nulla tempus.,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",semisuite,0,grande,34 Saint Paul Avenue,13,4
89,Nulla ac enim.,Sed accumsan felis. Ut at dolor quis odio consequat varius.,semisuite,0,pequeño,4625 Carpenter Junction,6,6
90,Maecenas ut massa quis augue luctus tincidunt.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",suite,0,pequeño,1355 Lukken Point,20,2
91,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Sed vel enim sit amet nunc viverra dapibus.,semisuite,1,mediano,00 Pennsylvania Plaza,5,4
92,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,Duis mattis egestas metus. Aenean fermentum.,estandar,0,grande,017 Eastlawn Park,4,3
93,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",Proin at turpis a pede posuere nonummy.,semisuite,0,pequeño,957 Melby Hill,16,6
94,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Suspendisse potenti.,suite,0,grande,229 Texas Terrace,10,6
95,Duis consequat dui nec nisi volutpat eleifend.,Sed ante.,suite,1,mediano,6100 Bunting Avenue,17,6
96,Aenean fermentum.,Quisque porta volutpat erat.,suite,0,pequeño,5638 Roxbury Plaza,14,5
97,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,semisuite,1,grande,9 Onsgard Park,17,4
98,Nulla mollis molestie lorem.,Aenean sit amet justo. Morbi ut odio.,suite,1,pequeño,95 Amoth Junction,8,5
99,Duis bibendum.,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",suite,1,grande,20 Russell Lane,10,4
100,Nullam sit amet turpis elementum ligula vehicula consequat.,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,semisuite,1,pequeño,7338 Blaine Avenue,6,5
101,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",semisuite,0,grande,1876 Talisman Trail,10,2
102,Nam tristique tortor eu pede.,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",suite,1,mediano,00 Grover Parkway,11,2
103,Suspendisse potenti. Nullam porttitor lacus at turpis.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",semisuite,0,mediano,3 Northfield Park,9,6
104,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",estandar,0,pequeño,0 Morning Avenue,6,5
105,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Etiam faucibus cursus urna.,suite,1,pequeño,9841 Forest Dale Junction,18,3
106,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,suite,0,grande,3 Monterey Alley,20,6
107,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,Donec ut dolor.,semisuite,0,pequeño,711 Fairfield Point,1,2
108,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",suite,1,grande,7202 Luster Pass,12,3
109,Nulla ac enim.,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,suite,0,grande,39 Emmet Court,1,5
110,Vestibulum sed magna at nunc commodo placerat.,Praesent blandit.,suite,1,pequeño,009 Waywood Pass,17,4
111,Vivamus vestibulum sagittis sapien.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,semisuite,0,grande,93 Meadow Vale Street,5,2
112,Nulla mollis molestie lorem. Quisque ut erat.,Nulla nisl.,suite,0,mediano,38834 Brown Trail,8,3
113,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Aliquam erat volutpat. In congue.,suite,0,pequeño,2803 Holy Cross Place,8,4
114,Aenean fermentum.,Proin eu mi. Nulla ac enim.,suite,1,grande,0 Manufacturers Street,7,3
115,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,estandar,0,grande,092 Hoard Place,5,2
116,Nullam sit amet turpis elementum ligula vehicula consequat.,Integer tincidunt ante vel ipsum.,suite,1,pequeño,40644 Oak Valley Circle,1,5
117,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Praesent blandit lacinia erat.,suite,1,pequeño,94 Katie Drive,4,6
118,Duis mattis egestas metus.,Nulla ut erat id mauris vulputate elementum. Nullam varius.,semisuite,1,pequeño,893 Dovetail Way,2,4
119,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Nulla ut erat id mauris vulputate elementum. Nullam varius.,suite,1,grande,70 Harbort Crossing,17,6
120,Morbi a ipsum.,Donec quis orci eget orci vehicula condimentum.,semisuite,0,mediano,7 Fieldstone Center,5,3
121,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,Aliquam erat volutpat.,suite,1,pequeño,58564 Oakridge Street,16,2
122,Quisque id justo sit amet sapien dignissim vestibulum.,In blandit ultrices enim.,suite,0,pequeño,5434 Green Lane,1,4
123,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",In congue.,semisuite,1,mediano,83 Nobel Alley,11,5
124,Suspendisse ornare consequat lectus.,Morbi a ipsum.,suite,1,grande,20129 Carioca Lane,7,3
125,Pellentesque viverra pede ac diam.,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",estandar,0,pequeño,006 Lake View Plaza,6,6
126,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Duis mattis egestas metus. Aenean fermentum.,estandar,0,pequeño,9830 Lerdahl Crossing,3,4
127,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",suite,0,mediano,30836 Chinook Drive,20,6
128,Curabitur in libero ut massa volutpat convallis.,Sed accumsan felis.,suite,1,grande,444 Summit Alley,20,5
129,Praesent blandit. Nam nulla.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,suite,1,mediano,38655 Derek Point,8,3
130,Donec semper sapien a libero. Nam dui.,Quisque ut erat.,suite,1,pequeño,426 Westridge Lane,1,4
131,In eleifend quam a odio.,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",suite,0,mediano,04396 Thompson Circle,8,4
132,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Vestibulum sed magna at nunc commodo placerat.,semisuite,1,pequeño,181 Fieldstone Parkway,17,6
133,Morbi ut odio.,Morbi ut odio.,estandar,0,grande,4762 David Pass,14,2
134,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Suspendisse accumsan tortor quis turpis. Sed ante.,estandar,0,pequeño,45 Schmedeman Point,15,6
135,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Nulla tellus.,estandar,0,pequeño,7587 Waywood Trail,15,2
136,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Integer tincidunt ante vel ipsum.,estandar,0,pequeño,3416 Dennis Avenue,14,4
137,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",Aliquam quis turpis eget elit sodales scelerisque.,estandar,1,pequeño,429 Lakewood Court,5,6
138,Aenean sit amet justo.,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",suite,0,pequeño,5 Amoth Way,19,4
139,Proin risus.,Aliquam erat volutpat. In congue.,semisuite,1,mediano,882 Myrtle Avenue,14,5
140,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,semisuite,0,pequeño,5 Eagan Place,9,5
141,Phasellus in felis.,Sed accumsan felis.,semisuite,0,pequeño,3 Springs Alley,13,6
142,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,Duis bibendum.,semisuite,1,pequeño,3 Monument Plaza,12,4
143,In quis justo. Maecenas rhoncus aliquam lacus.,In hac habitasse platea dictumst.,semisuite,1,pequeño,087 Sugar Avenue,14,5
144,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,In quis justo.,estandar,1,pequeño,467 Knutson Crossing,13,3
145,Donec posuere metus vitae ipsum. Aliquam non mauris.,Sed ante. Vivamus tortor.,suite,1,pequeño,600 Riverside Street,8,4
146,Morbi a ipsum. Integer a nibh.,Pellentesque ultrices mattis odio.,suite,0,grande,4 High Crossing Hill,20,5
147,Pellentesque viverra pede ac diam.,Duis bibendum.,estandar,1,grande,33111 David Crossing,11,2
148,Integer ac neque.,Aenean fermentum.,semisuite,0,pequeño,1 Scoville Drive,2,5
149,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Curabitur convallis.,semisuite,0,mediano,23 Golf Course Circle,3,4
150,Donec posuere metus vitae ipsum. Aliquam non mauris.,Mauris sit amet eros.,semisuite,1,pequeño,041 Milwaukee Place,5,4
151,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",estandar,1,mediano,24160 Eagle Crest Avenue,8,2
152,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,suite,1,pequeño,1 Lillian Road,6,6
153,Donec posuere metus vitae ipsum.,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",semisuite,1,grande,4 Toban Place,13,6
154,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.","Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",estandar,1,pequeño,313 Mayer Circle,13,5
155,Pellentesque ultrices mattis odio.,Etiam justo. Etiam pretium iaculis justo.,estandar,1,pequeño,3917 David Drive,15,3
156,Phasellus in felis. Donec semper sapien a libero.,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",semisuite,0,grande,06143 American Terrace,5,3
157,Nulla nisl. Nunc nisl.,Cras pellentesque volutpat dui.,suite,1,pequeño,4 Sachtjen Terrace,19,2
158,Pellentesque ultrices mattis odio. Donec vitae nisi.,Praesent blandit.,estandar,1,pequeño,1138 Fordem Hill,4,6
159,Duis mattis egestas metus.,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",estandar,0,mediano,46 Thackeray Avenue,12,5
160,Vivamus tortor.,Maecenas pulvinar lobortis est.,semisuite,0,pequeño,4 Lawn Avenue,17,2
161,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,suite,1,mediano,386 Melody Parkway,15,4
162,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Duis ac nibh.,estandar,1,pequeño,836 Schiller Center,1,4
