ID,UBICACION,MENAJE,TIPO_HABITACION,MENSUAL,DESCRIPCION,CAPACIDAD_MAXIMA
28,25072 Northland Plaza,Morbi ut odio.,sencilla,1,Vivamus in felis eu sapien cursus vestibulum.,2492
29,4392 Doe Crossing Street,Ut at dolor quis odio consequat varius.,compartida,0,Etiam faucibus cursus urna.,4839
30,20595 Randy Drive,Morbi vel lectus in quam fringilla rhoncus.,sencilla,1,Aliquam quis turpis eget elit sodales scelerisque.,3633
31,69 Marquette Way,Donec posuere metus vitae ipsum.,sencilla,1,Morbi non quam nec dui luctus rutrum.,1658
32,665 Merry Park,Phasellus sit amet erat.,sencilla,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",2086
33,36477 Debra Terrace,Duis ac nibh.,sencilla,1,Integer ac neque.,3930
34,2 Karstens Alley,Proin eu mi.,compartida,0,Nullam varius.,4627
35,838 Vahlen Circle,Sed vel enim sit amet nunc viverra dapibus.,sencilla,0,Morbi ut odio.,2463
36,4 Cherokee Junction,Vestibulum sed magna at nunc commodo placerat.,sencilla,0,Morbi a ipsum.,4503
37,9 Lindbergh Avenue,Vivamus tortor.,compartida,1,Vivamus in felis eu sapien cursus vestibulum.,1622
38,52 Marquette Lane,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",compartida,0,Ut at dolor quis odio consequat varius.,1302
39,49681 Dryden Junction,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",compartida,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2674
40,615 3rd Pass,Morbi ut odio.,compartida,0,Suspendisse potenti.,1169
41,6239 Sheridan Way,Morbi a ipsum.,compartida,0,Duis mattis egestas metus.,3164
42,16273 Esker Drive,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Nulla tempus.,3095
43,3575 Armistice Parkway,Donec ut mauris eget massa tempor convallis.,sencilla,1,Sed vel enim sit amet nunc viverra dapibus.,1821
44,500 Granby Terrace,In quis justo.,sencilla,1,Morbi ut odio.,1174
45,2336 Meadow Ridge Avenue,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Donec posuere metus vitae ipsum.,3140
46,21260 Monument Trail,Duis ac nibh.,sencilla,1,Cras non velit nec nisi vulputate nonummy.,3464
47,35 Forest Pass,Donec posuere metus vitae ipsum.,sencilla,0,Nunc purus.,1638
48,428 Springs Place,Suspendisse ornare consequat lectus.,sencilla,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1896
49,7 Elmside Center,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",sencilla,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1430
50,841 Portage Street,Praesent blandit lacinia erat.,sencilla,0,Duis consequat dui nec nisi volutpat eleifend.,4753
51,301 Merry Court,Phasellus in felis.,compartida,1,Nulla tellus.,2750
52,42097 Helena Avenue,Pellentesque eget nunc.,compartida,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1060
53,05620 Bunting Circle,Duis at velit eu est congue elementum.,compartida,1,In hac habitasse platea dictumst.,2482
54,292 Roxbury Center,Maecenas rhoncus aliquam lacus.,compartida,1,Donec ut dolor.,3777
55,3 Dayton Road,In hac habitasse platea dictumst.,sencilla,1,Donec semper sapien a libero.,4147
56,5635 Logan Court,Duis at velit eu est congue elementum.,sencilla,0,Nulla tellus.,1298
57,067 Anniversary Place,Suspendisse ornare consequat lectus.,sencilla,0,Nulla justo.,1269
58,18 Novick Parkway,Duis aliquam convallis nunc.,compartida,1,Duis mattis egestas metus.,1862
59,29059 Springs Lane,Etiam faucibus cursus urna.,sencilla,1,Nulla facilisi.,4204
60,77 Forest Run Lane,Suspendisse potenti.,sencilla,1,Pellentesque eget nunc.,2840
61,6 Maryland Court,Pellentesque ultrices mattis odio.,compartida,1,Morbi quis tortor id nulla ultrices aliquet.,1800
62,94538 Monument Hill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,1,Praesent blandit.,2726
63,155 Westport Circle,Vivamus in felis eu sapien cursus vestibulum.,sencilla,0,Donec ut dolor.,4042
64,28057 Wayridge Drive,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",compartida,0,Nulla ut erat id mauris vulputate elementum.,1206
65,264 Fieldstone Terrace,Praesent blandit lacinia erat.,sencilla,1,Duis bibendum.,2857
66,4768 Sugar Way,Nullam sit amet turpis elementum ligula vehicula consequat.,sencilla,1,Nulla nisl.,3228
67,6243 Lillian Hill,In quis justo.,sencilla,0,Donec ut mauris eget massa tempor convallis.,2795
68,245 Bunker Hill Pass,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",compartida,0,Praesent blandit lacinia erat.,1070
69,598 Almo Place,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,1,Donec vitae nisi.,4959
70,853 Eliot Crossing,Vivamus tortor.,sencilla,0,Pellentesque at nulla.,1775
71,2296 Daystar Terrace,Nullam sit amet turpis elementum ligula vehicula consequat.,compartida,0,Vivamus vel nulla eget eros elementum pellentesque.,2462
72,122 Monica Pass,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,1,Nullam molestie nibh in lectus.,1756
73,03 Bunting Circle,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2386
74,84 Cardinal Plaza,Integer ac neque.,compartida,0,Vivamus tortor.,2436
75,4 Dorton Alley,Aenean lectus.,sencilla,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1430
76,74 Northland Center,Nulla tempus.,sencilla,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1493
77,86 Schmedeman Trail,Maecenas ut massa quis augue luctus tincidunt.,sencilla,0,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",3126
78,78 Weeping Birch Crossing,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",compartida,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1887
79,30 Melby Circle,Donec ut mauris eget massa tempor convallis.,sencilla,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3090
80,31 Farmco Place,Fusce consequat.,sencilla,1,Morbi non lectus.,3507
81,17 Village Crossing,Sed accumsan felis.,compartida,1,Nulla justo.,4906
82,4151 Glendale Lane,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,0,Aenean fermentum.,3772
83,8992 Boyd Circle,In quis justo.,sencilla,1,Nulla justo.,3684
84,598 Merchant Pass,In hac habitasse platea dictumst.,sencilla,0,Cras non velit nec nisi vulputate nonummy.,4003
85,8156 Ridgeview Drive,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,1,Suspendisse accumsan tortor quis turpis.,3968
86,8 Amoth Hill,Etiam pretium iaculis justo.,sencilla,1,Aliquam non mauris.,1438
87,0 Bay Circle,Etiam justo.,compartida,0,Ut tellus.,3779
88,30 Holmberg Plaza,Duis consequat dui nec nisi volutpat eleifend.,compartida,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2626
89,9 Oneill Way,In hac habitasse platea dictumst.,compartida,0,Mauris sit amet eros.,1778
90,294 Sunfield Road,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",sencilla,1,Etiam justo.,3985
91,19369 Golf Court,Ut tellus.,sencilla,0,Duis bibendum.,1290
92,8 Loeprich Plaza,Phasellus in felis.,compartida,1,Proin at turpis a pede posuere nonummy.,4191
93,1021 Mariners Cove Parkway,Donec dapibus.,sencilla,1,Morbi porttitor lorem id ligula.,4163
94,34 Crest Line Crossing,Sed ante.,compartida,0,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1654
95,1 Killdeer Point,Nulla facilisi.,sencilla,1,Nulla suscipit ligula in lacus.,3013
96,08047 8th Park,Integer non velit.,compartida,1,Nullam molestie nibh in lectus.,2823
97,15495 Huxley Drive,Vestibulum ac est lacinia nisi venenatis tristique.,sencilla,1,Ut tellus.,2389
98,80517 Morningstar Road,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",sencilla,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",3792
99,969 Nelson Street,Suspendisse potenti.,sencilla,0,Integer non velit.,3198
100,291 Lyons Crossing,Nulla ac enim.,compartida,1,Nam nulla.,3519
101,60976 Toban Plaza,Donec dapibus.,compartida,1,Mauris lacinia sapien quis libero.,3441
102,2266 Arizona Court,Nam nulla.,sencilla,1,Quisque porta volutpat erat.,2386
103,45121 Jenna Hill,Mauris lacinia sapien quis libero.,sencilla,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",2125
104,1 Randy Pass,Nullam porttitor lacus at turpis.,sencilla,0,Quisque porta volutpat erat.,2929
105,6202 Katie Way,Vestibulum rutrum rutrum neque.,sencilla,1,Nulla ac enim.,1715
106,8430 Hauk Parkway,Pellentesque eget nunc.,compartida,0,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",3510
107,70730 Warner Center,Donec semper sapien a libero.,compartida,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",2966
108,8 Darwin Park,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,0,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4422
109,39 Sherman Road,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,1,Fusce consequat.,1558
110,2 Oak Valley Center,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",compartida,0,Cras pellentesque volutpat dui.,2399
111,7 Susan Court,Curabitur in libero ut massa volutpat convallis.,sencilla,1,Vestibulum sed magna at nunc commodo placerat.,4949
112,6 Dorton Pass,Nulla tellus.,compartida,0,Nam nulla.,1106
113,05941 Dennis Drive,Mauris ullamcorper purus sit amet nulla.,sencilla,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2698
114,3743 Tony Way,Suspendisse ornare consequat lectus.,compartida,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1224
115,898 Dunning Crossing,Duis at velit eu est congue elementum.,sencilla,0,Nulla justo.,2208
116,77840 Schurz Trail,Donec ut mauris eget massa tempor convallis.,sencilla,1,Morbi porttitor lorem id ligula.,2129
117,13028 Haas Terrace,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,1,Vivamus vel nulla eget eros elementum pellentesque.,2926
118,7520 Hoepker Court,Donec ut dolor.,sencilla,0,Curabitur gravida nisi at nibh.,3935
119,4019 Ryan Crossing,Donec ut mauris eget massa tempor convallis.,compartida,0,Donec semper sapien a libero.,4146
120,413 Pierstorff Plaza,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",compartida,0,Vivamus vel nulla eget eros elementum pellentesque.,3742
121,83 Brown Trail,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1361
122,7969 Dryden Terrace,Proin interdum mauris non ligula pellentesque ultrices.,compartida,0,Etiam vel augue.,2726
123,3 Rowland Place,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,1,Mauris ullamcorper purus sit amet nulla.,3442
124,9 Scoville Circle,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,Morbi non lectus.,3922
125,6189 Eagan Center,Aliquam erat volutpat.,compartida,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",4780
126,25 Hudson Parkway,Sed vel enim sit amet nunc viverra dapibus.,sencilla,0,Integer ac neque.,4883
127,331 Vera Plaza,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",sencilla,1,Sed sagittis.,1356
128,69 Calypso Trail,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,0,Maecenas tincidunt lacus at velit.,2989
129,4090 Dunning Hill,Duis consequat dui nec nisi volutpat eleifend.,sencilla,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2310
130,17253 Delaware Drive,Pellentesque ultrices mattis odio.,sencilla,1,Integer ac neque.,2490
131,650 Forest Dale Avenue,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",sencilla,0,In eleifend quam a odio.,2622
132,76980 Di Loreto Junction,Nunc nisl.,sencilla,1,Ut at dolor quis odio consequat varius.,1237
133,59 Tony Road,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",compartida,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2982
134,557 Anniversary Place,Pellentesque ultrices mattis odio.,sencilla,0,Phasellus in felis.,4514
135,42953 Messerschmidt Park,Nam tristique tortor eu pede.,sencilla,1,Cras non velit nec nisi vulputate nonummy.,2019
136,79440 Fieldstone Avenue,Phasellus sit amet erat.,compartida,0,Donec vitae nisi.,4618
137,3190 Bobwhite Crossing,In quis justo.,compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2929
138,21528 Arizona Crossing,Nunc purus.,compartida,1,Vivamus tortor.,1952
139,5 Birchwood Lane,Duis consequat dui nec nisi volutpat eleifend.,compartida,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1960
140,66088 Cherokee Hill,Ut at dolor quis odio consequat varius.,sencilla,0,Donec posuere metus vitae ipsum.,1868
141,97 Sunnyside Court,Mauris sit amet eros.,sencilla,1,Cras in purus eu magna vulputate luctus.,2787
142,2 Anthes Road,In sagittis dui vel nisl.,sencilla,1,Phasellus in felis.,3011
143,258 Montana Center,Etiam faucibus cursus urna.,compartida,0,Etiam faucibus cursus urna.,1165
144,433 Maryland Center,Cras non velit nec nisi vulputate nonummy.,sencilla,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",3114
145,0 Northland Lane,Aliquam erat volutpat.,compartida,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2489
146,4 Lakeland Pass,Praesent lectus.,compartida,0,Nulla tempus.,1535
147,67842 2nd Junction,Etiam pretium iaculis justo.,sencilla,1,Duis mattis egestas metus.,3681
148,0985 Nelson Circle,Suspendisse potenti.,compartida,0,Integer non velit.,3305
149,79 Pennsylvania Plaza,Morbi non lectus.,sencilla,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1669
150,0031 Colorado Road,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",compartida,0,Duis ac nibh.,3939
151,421 6th Junction,Nam tristique tortor eu pede.,compartida,1,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",3579
152,73 Sheridan Hill,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",compartida,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",3611
153,0063 Mosinee Avenue,Praesent id massa id nisl venenatis lacinia.,compartida,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",4222
154,6 Carey Pass,Ut at dolor quis odio consequat varius.,compartida,1,Sed sagittis.,3944
155,7375 Pearson Hill,In hac habitasse platea dictumst.,sencilla,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",3365
156,35 Dayton Road,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1338
157,06 Meadow Ridge Drive,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,0,Maecenas pulvinar lobortis est.,4686
158,992 Elgar Point,Etiam faucibus cursus urna.,sencilla,0,Donec semper sapien a libero.,3701
159,81 Reinke Street,Nunc rhoncus dui vel sem.,sencilla,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,3247
160,91 Portage Drive,Proin interdum mauris non ligula pellentesque ultrices.,sencilla,1,Suspendisse potenti.,3973
161,09197 Gerald Plaza,Duis mattis egestas metus.,sencilla,0,Sed sagittis.,2011
162,62 Porter Street,Pellentesque ultrices mattis odio.,compartida,0,Suspendisse potenti.,4109
163,780 Thompson Circle,Aenean lectus.,sencilla,0,Integer tincidunt ante vel ipsum.,3321
164,89554 Green Ridge Place,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,0,Mauris lacinia sapien quis libero.,3753
165,75 Knutson Parkway,Integer ac neque.,sencilla,0,Etiam pretium iaculis justo.,3862
166,54933 Texas Street,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",sencilla,0,Nulla suscipit ligula in lacus.,1198
167,988 Amoth Crossing,Nulla mollis molestie lorem.,compartida,0,Nullam varius.,1102
168,69 Waxwing Place,Quisque id justo sit amet sapien dignissim vestibulum.,compartida,1,Quisque ut erat.,3827
169,61 Roth Way,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",sencilla,1,Praesent lectus.,2205
170,20426 Reindahl Park,Vestibulum rutrum rutrum neque.,compartida,1,Donec ut mauris eget massa tempor convallis.,3489
171,1 Eastwood Park,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",sencilla,0,Donec semper sapien a libero.,3903
172,95 Clove Pass,Nulla ac enim.,compartida,1,Pellentesque eget nunc.,4856
173,8 Linden Circle,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",sencilla,1,Duis ac nibh.,3176
174,46 Sheridan Drive,Morbi a ipsum.,compartida,0,Nulla tempus.,1531
175,0129 Moland Alley,Maecenas rhoncus aliquam lacus.,sencilla,1,Nullam porttitor lacus at turpis.,2333
176,5 Bowman Lane,Pellentesque eget nunc.,compartida,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,1096
177,69894 Chinook Lane,Duis aliquam convallis nunc.,compartida,0,Phasellus id sapien in sapien iaculis congue.,3891
178,166 Rockefeller Alley,Curabitur gravida nisi at nibh.,compartida,0,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2626
179,0981 Birchwood Parkway,Mauris lacinia sapien quis libero.,sencilla,0,In eleifend quam a odio.,2225
180,21781 Badeau Alley,Sed ante.,sencilla,0,Duis consequat dui nec nisi volutpat eleifend.,2839
181,18 Pawling Alley,Vestibulum sed magna at nunc commodo placerat.,compartida,0,Maecenas rhoncus aliquam lacus.,2542
182,89071 Sycamore Avenue,Pellentesque viverra pede ac diam.,compartida,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1509
183,5131 Calypso Junction,Suspendisse potenti.,sencilla,1,Praesent lectus.,4194
184,276 Delaware Alley,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,compartida,0,Vivamus in felis eu sapien cursus vestibulum.,1088
185,39310 Kedzie Plaza,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,1,Proin at turpis a pede posuere nonummy.,4406
186,6 Luster Lane,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",sencilla,0,Vestibulum sed magna at nunc commodo placerat.,1177
187,85 Ridgeway Point,Proin at turpis a pede posuere nonummy.,sencilla,1,Curabitur in libero ut massa volutpat convallis.,3009
188,8453 Sunnyside Trail,Donec posuere metus vitae ipsum.,sencilla,0,Duis aliquam convallis nunc.,2687
189,795 Scoville Crossing,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",compartida,1,Curabitur gravida nisi at nibh.,4821
190,6885 Sullivan Way,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",2491
191,71673 Dapin Center,Vivamus tortor.,sencilla,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",3648
192,236 Thompson Parkway,Fusce posuere felis sed lacus.,compartida,1,Nunc rhoncus dui vel sem.,3875
193,455 Farragut Circle,Vestibulum ac est lacinia nisi venenatis tristique.,sencilla,1,Suspendisse potenti.,3594
194,2341 Farwell Court,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",compartida,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2896
195,85 Arrowood Street,Duis bibendum.,compartida,0,Integer ac neque.,4382
196,2544 Schurz Hill,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",compartida,0,Duis consequat dui nec nisi volutpat eleifend.,4037
197,573 Maryland Junction,Vestibulum rutrum rutrum neque.,sencilla,1,Curabitur convallis.,2743
198,72 Magdeline Pass,Morbi quis tortor id nulla ultrices aliquet.,compartida,1,Aliquam quis turpis eget elit sodales scelerisque.,1270
199,97219 School Center,Donec semper sapien a libero.,compartida,1,Fusce consequat.,1185
200,32146 Everett Avenue,Etiam faucibus cursus urna.,compartida,0,Duis ac nibh.,3874
201,6533 Burrows Junction,Nullam porttitor lacus at turpis.,sencilla,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,3384
202,5 Southridge Junction,Proin eu mi.,sencilla,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,2887
203,47 Scofield Point,Suspendisse ornare consequat lectus.,sencilla,1,Integer tincidunt ante vel ipsum.,3655
204,58 Mallard Drive,Morbi vel lectus in quam fringilla rhoncus.,sencilla,0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",4685
205,48 Hoepker Pass,Etiam justo.,sencilla,0,Fusce consequat.,4505
206,837 Spenser Lane,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",sencilla,0,Cras in purus eu magna vulputate luctus.,1142
207,0 Stone Corner Pass,Nulla suscipit ligula in lacus.,compartida,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4110
208,87 Lyons Road,Nulla tempus.,sencilla,1,Maecenas pulvinar lobortis est.,2131
209,996 Fuller Alley,Integer ac neque.,sencilla,1,Cras pellentesque volutpat dui.,2449
210,7484 Moulton Circle,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",compartida,0,Nulla ut erat id mauris vulputate elementum.,4055
211,65 Kim Street,Nulla tempus.,sencilla,0,Sed ante.,3722
212,7 Comanche Plaza,Nulla tellus.,compartida,0,Proin risus.,4147
213,3 Everett Alley,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",compartida,1,Vivamus vestibulum sagittis sapien.,3619
214,593 Rieder Trail,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",sencilla,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",4504
